customer_id,customer_name,email,city,country,signup_date,plan_type,is_active
1,Customer_1,customer1@mail.com,Chennai,India,2023-04-25,Basic,1
2,Customer_2,customer2@mail.com,Mumbai,India,2023-08-17,Basic,0
3,Customer_3,customer3@mail.com,Chennai,India,2025-01-28,Premium,0
4,Customer_4,customer4@mail.com,Pune,India,2024-03-08,Basic,0
5,Customer_5,customer5@mail.com,Mumbai,India,2023-08-27,Basic,0
6,Customer_6,customer6@mail.com,Pune,India,2023-07-23,Premium,1
7,Customer_7,customer7@mail.com,Mumbai,India,2024-04-04,Basic,0
8,Customer_8,customer8@mail.com,Kolkata,India,2025-04-05,Basic,1
9,Customer_9,customer9@mail.com,Bangalore,India,2023-10-12,Basic,1
10,Customer_10,customer10@mail.com,Delhi,India,2023-04-05,Basic,1
11,Customer_11,customer11@mail.com,Kolkata,India,2023-12-19,Premium,0
12,Customer_12,customer12@mail.com,Chennai,India,2024-04-15,Basic,1
13,Customer_13,customer13@mail.com,Delhi,India,2024-07-19,Basic,1
14,Customer_14,customer14@mail.com,Pune,India,2023-07-16,Premium,0
15,Customer_15,customer15@mail.com,Chennai,India,2023-08-22,Premium,0
16,Customer_16,customer16@mail.com,Kolkata,India,2023-08-27,Premium,1
17,Customer_17,customer17@mail.com,Bangalore,India,2024-04-09,Premium,1
18,Customer_18,customer18@mail.com,Mumbai,India,2024-01-15,Basic,1
19,Customer_19,customer19@mail.com,Chennai,India,2024-11-30,Premium,0
20,Customer_20,customer20@mail.com,Pune,India,2025-01-16,Basic,1
21,Customer_21,customer21@mail.com,Hyderabad,India,2023-10-04,Enterprise,0
22,Customer_22,customer22@mail.com,Chennai,India,2023-11-29,Premium,0
23,Customer_23,customer23@mail.com,Mumbai,India,2025-04-21,Basic,1
24,Customer_24,customer24@mail.com,Hyderabad,India,2023-10-02,Basic,1
25,Customer_25,customer25@mail.com,Mumbai,India,2024-11-02,Basic,1
26,Customer_26,customer26@mail.com,Mumbai,India,2023-09-29,Basic,1
27,Customer_27,customer27@mail.com,Chennai,India,2024-08-21,Basic,1
28,Customer_28,customer28@mail.com,Bangalore,India,2023-08-13,Enterprise,0
29,Customer_29,customer29@mail.com,Pune,India,2024-05-20,Basic,0
30,Customer_30,customer30@mail.com,Kolkata,India,2023-04-23,Basic,0
31,Customer_31,customer31@mail.com,Kolkata,India,2024-11-27,Basic,0
32,Customer_32,customer32@mail.com,Hyderabad,India,2024-01-26,Basic,1
33,Customer_33,customer33@mail.com,Pune,India,2023-09-15,Enterprise,0
34,Customer_34,customer34@mail.com,Chennai,India,2025-01-08,Basic,1
35,Customer_35,customer35@mail.com,Kolkata,India,2024-10-18,Basic,1
36,Customer_36,customer36@mail.com,Hyderabad,India,2023-06-11,Basic,1
37,Customer_37,customer37@mail.com,Pune,India,2025-02-19,Basic,0
38,Customer_38,customer38@mail.com,Kolkata,India,2024-10-02,Basic,0
39,Customer_39,customer39@mail.com,Mumbai,India,2024-01-18,Premium,0
40,Customer_40,customer40@mail.com,Pune,India,2023-11-28,Basic,0
41,Customer_41,customer41@mail.com,Bangalore,India,2025-06-18,Enterprise,1
42,Customer_42,customer42@mail.com,Mumbai,India,2023-03-01,Basic,0
43,Customer_43,customer43@mail.com,Delhi,India,2025-01-19,Basic,0
44,Customer_44,customer44@mail.com,Kolkata,India,2024-06-29,Premium,0
45,Customer_45,customer45@mail.com,Chennai,India,2024-05-01,Enterprise,0
46,Customer_46,customer46@mail.com,Bangalore,India,2024-06-24,Premium,1
47,Customer_47,customer47@mail.com,Mumbai,India,2024-07-06,Premium,0
48,Customer_48,customer48@mail.com,Chennai,India,2023-11-16,Basic,1
49,Customer_49,customer49@mail.com,Hyderabad,India,2024-06-13,Basic,0
50,Customer_50,customer50@mail.com,Mumbai,India,2023-03-07,Basic,0
51,Customer_51,customer51@mail.com,Pune,India,2023-08-14,Basic,0
52,Customer_52,customer52@mail.com,Mumbai,India,2023-03-11,Enterprise,1
53,Customer_53,customer53@mail.com,Delhi,India,2024-06-10,Basic,1
54,Customer_54,customer54@mail.com,Mumbai,India,2024-07-06,Basic,1
55,Customer_55,customer55@mail.com,Mumbai,India,2025-03-14,Basic,1
56,Customer_56,customer56@mail.com,Mumbai,India,2023-04-07,Basic,1
57,Customer_57,customer57@mail.com,Bangalore,India,2024-03-09,Basic,0
58,Customer_58,customer58@mail.com,Chennai,India,2024-10-31,Enterprise,0
59,Customer_59,customer59@mail.com,Delhi,India,2024-02-17,Premium,0
60,Customer_60,customer60@mail.com,Mumbai,India,2023-07-16,Basic,1
61,Customer_61,customer61@mail.com,Mumbai,India,2024-03-08,Basic,1
62,Customer_62,customer62@mail.com,Mumbai,India,2025-06-14,Enterprise,1
63,Customer_63,customer63@mail.com,Kolkata,India,2025-06-01,Premium,0
64,Customer_64,customer64@mail.com,Delhi,India,2024-10-29,Enterprise,0
65,Customer_65,customer65@mail.com,Delhi,India,2025-02-10,Premium,0
66,Customer_66,customer66@mail.com,Hyderabad,India,2024-05-12,Basic,1
67,Customer_67,customer67@mail.com,Delhi,India,2023-06-18,Basic,1
68,Customer_68,customer68@mail.com,Bangalore,India,2025-03-13,Premium,1
69,Customer_69,customer69@mail.com,Hyderabad,India,2024-12-14,Enterprise,1
70,Customer_70,customer70@mail.com,Mumbai,India,2023-07-14,Basic,0
71,Customer_71,customer71@mail.com,Pune,India,2025-01-23,Basic,1
72,Customer_72,customer72@mail.com,Delhi,India,2023-02-21,Basic,0
73,Customer_73,customer73@mail.com,Delhi,India,2024-06-04,Basic,0
74,Customer_74,customer74@mail.com,Delhi,India,2024-09-01,Basic,0
75,Customer_75,customer75@mail.com,Hyderabad,India,2023-05-03,Enterprise,0
76,Customer_76,customer76@mail.com,Pune,India,2024-08-31,Basic,0
77,Customer_77,customer77@mail.com,Hyderabad,India,2024-11-04,Basic,1
78,Customer_78,customer78@mail.com,Bangalore,India,2023-07-29,Premium,1
79,Customer_79,customer79@mail.com,Mumbai,India,2023-09-29,Basic,1
80,Customer_80,customer80@mail.com,Hyderabad,India,2023-11-20,Enterprise,0
81,Customer_81,customer81@mail.com,Delhi,India,2024-04-14,Premium,0
82,Customer_82,customer82@mail.com,Delhi,India,2024-07-04,Basic,1
83,Customer_83,customer83@mail.com,Mumbai,India,2023-12-24,Premium,0
84,Customer_84,customer84@mail.com,Bangalore,India,2023-10-19,Basic,1
85,Customer_85,customer85@mail.com,Pune,India,2025-04-06,Premium,0
86,Customer_86,customer86@mail.com,Chennai,India,2025-04-16,Basic,0
87,Customer_87,customer87@mail.com,Mumbai,India,2023-09-28,Basic,0
88,Customer_88,customer88@mail.com,Chennai,India,2024-07-20,Basic,1
89,Customer_89,customer89@mail.com,Pune,India,2023-08-04,Premium,0
90,Customer_90,customer90@mail.com,Chennai,India,2024-10-11,Premium,1
91,Customer_91,customer91@mail.com,Bangalore,India,2025-05-16,Basic,1
92,Customer_92,customer92@mail.com,Kolkata,India,2023-10-11,Basic,1
93,Customer_93,customer93@mail.com,Kolkata,India,2023-05-14,Premium,1
94,Customer_94,customer94@mail.com,Mumbai,India,2025-01-29,Basic,1
95,Customer_95,customer95@mail.com,Pune,India,2023-01-10,Basic,0
96,Customer_96,customer96@mail.com,Pune,India,2023-02-06,Premium,0
97,Customer_97,customer97@mail.com,Hyderabad,India,2023-05-11,Basic,1
98,Customer_98,customer98@mail.com,Kolkata,India,2025-05-31,Basic,1
99,Customer_99,customer99@mail.com,Mumbai,India,2024-11-29,Basic,0
100,Customer_100,customer100@mail.com,Bangalore,India,2025-03-09,Basic,1
101,Customer_101,customer101@mail.com,Pune,India,2025-02-06,Basic,0
102,Customer_102,customer102@mail.com,Kolkata,India,2023-06-16,Enterprise,0
103,Customer_103,customer103@mail.com,Hyderabad,India,2023-01-26,Basic,1
104,Customer_104,customer104@mail.com,Kolkata,India,2024-02-26,Premium,0
105,Customer_105,customer105@mail.com,Bangalore,India,2023-06-13,Premium,0
106,Customer_106,customer106@mail.com,Hyderabad,India,2025-06-12,Basic,1
107,Customer_107,customer107@mail.com,Mumbai,India,2023-07-24,Premium,1
108,Customer_108,customer108@mail.com,Bangalore,India,2023-11-09,Premium,0
109,Customer_109,customer109@mail.com,Mumbai,India,2023-01-25,Premium,1
